   Compiling ahc025 v0.1.0 (/home/light/kyopro/ahc025)
    Finished dev [unoptimized + debuginfo] target(s) in 0.40s
     Running `target/debug/test a`
48 402207 21.907408 7
619 400915 20.196428 3
803 399086 7.34375 6
339 397038 6.888889 3
191 395020 26.455555 10
981 391486 6.618421 9
873 391250 21.722221 2
306 390655 7.1086955 3
564 382195 8.363636 7
741 378903 7.735849 4
674 377546 7.509091 4
54 375005 8.055555 9
257 372151 16.034483 10
2 367017 21.372341 5
717 364301 5.571429 2
588 361580 13.78 9
684 359445 28.21875 6
482 353465 13.657143 4
140 352061 11.133333 7
237 351474 6.177778 6
847 350301 2.107143 2
808 350148 25.3 9
288 347401 11.2972975 2
686 343552 13.671429 9
3 342939 28.6 6
551 341801 6.4390244 2
638 337907 5.5348835 5
108 337055 8.363636 9
973 326859 13.94186 4
668 323301 4.840909 2
886 320923 25.736841 3
912 315701 26.448277 2
460 315317 10.983334 7
565 313437 15.438597 6
109 308788 4.16 4
747 305466 13.354838 6
533 293243 2.49 5
168 291977 19.898735 9
705 291782 6.675 9
978 282051 5.547619 7
44 280839 15.67347 13
161 276350 13.774194 5
115 273235 18.59375 4
390 266942 12.386364 5
895 265386 23.489796 7
811 260501 13.306666 2
134 260050 8.870968 2
822 257559 15.589286 7
830 257101 8.872727 6
502 253392 29.558441 6
688 252471 2.4533334 6
558 251501 7.338983 2
79 247476 26.352942 4
46 246391 19.11111 3
447 245451 25.337662 14
112 244101 17.452381 2
66 241953 6.025 9
837 241062 3.6393442 5
929 238137 21.948454 10
566 231263 5.571429 8
554 230172 11.219512 7
520 225801 13.105883 2
707 225765 18.1875 6
164 220061 12.361111 7
422 219493 4.1355934 6
203 217424 10.532258 5
118 213001 26.765306 2
751 212026 11.202899 5
277 211704 25.722221 6
192 205667 8.448276 4
728 204402 7.1578946 3
525 198989 4.27907 6
791 197645 24.654322 3
887 196897 4.948718 3
843 190301 8.972222 2
927 189122 20.973684 5
470 186247 2.942029 3
494 185001 5.7413793 2
219 184952 23.842857 6
592 184516 15.83871 4
621 181288 25.11111 5
503 180629 12.551724 8
908 175101 5.5 2
443 174383 21.11111 5
891 174090 26.140625 7
330 173401 6.090909 2
600 172537 2.397436 4
453 170099 18.424242 4
817 169750 29.944445 2
16 167811 4.911111 4
651 167769 6.622951 4
427 167591 7.980392 6
326 164916 2.6666667 3
233 161697 5.0147057 6
26 160150 14 2
942 159594 20.23077 6
798 158649 9.12 7
626 157674 28.25 6
261 155667 21.726027 10
950 153304 17.857143 5
841 150650 28.289856 2
872 149901 12.810811 2
370 136101 12.194445 2
579 132001 29.628204 2
250 131627 12.985294 5
496 129718 25.207546 5
357 129443 27.197184 4
989 129158 2.987805 5
266 127756 5.2028985 4
778 126050 27 2
386 125806 9.817073 9
215 117625 15.421687 11
546 117323 8.952381 4
657 116401 13.173077 2
121 110169 10.322222 3
68 109550 5.243243 2
768 106570 14.816326 4
829 106550 24.9 2
680 101501 10.148936 2
783 99750 21.913794 2
753 87650 29.439394 2
568 87601 5.78125 2
75 86101 6.642857 2
205 83064 14.760417 7
821 79608 21.772728 4
569 79361 9.48 5
985 69525 22.213116 4
732 67150 6.2 2
125 65750 17.568628 2
332 59550 7.28125 2
281 53550 24.875 2
432 50401 23.25 2
154 49350 5.1764708 2
297 45858 29.355556 4
731 45645 13.810811 3
0 37050 4.129032 2
450 36501 5.675 2
50 32836 18.181818 4
687 29323 13.961538 4
936 22701 28.722221 2
399 21462 2.2736843 3
368 20917 2.6388888 3
606 17601 9.448718 2
913 16650 27.535212 2
394 15450 26.22619 2
6 14401 5.3230767 2
440 13110 8.536586 3
374 5701 13.25532 2
659 1401 11.485294 2
# average score: 1960341
